,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
6488,23.11,23.6,0.12,63.0,1.0924914675767918,0.39,-1.12,31.6,-0.97,24.7,1,no change,3.0
6490,23.55,23.96,0.12,62.0,1.0924914675767918,0.41,-0.92,22.7,-0.76,17.1,1,no change,6.0
6499,23.54,23.76,0.13,68.0,1.0924914675767918,0.29,-1.35,43.0,-1.19,34.8,1,no change,6.0
6506,24.18,24.329999999999995,0.17,67.0,1.0924914675767918,0.38,-0.95,24.0,-0.82,19.2,0,warmer,3.0
6519,23.37,23.98999999999999,0.12,63.0,1.1918088737201364,0.3299999999999999,-0.98,25.5,-0.87,20.9,1,no change,6.0
6520,23.38,23.81,0.1,63.0,1.0924914675767918,0.39,-0.94,23.8,-0.94,23.8,1,no change,5.0
6528,23.3,23.75,0.16,64.0,1.241467576791809,0.36,-1.05,28.1,-0.97,25.0,1,no change,5.0
6546,24.12,24.239999999999995,0.16,64.0,1.241467576791809,0.25,-1.15,32.6,-1.06,28.8,1,cooler,5.0
6556,23.86,24.06,0.18,62.0,1.1421501706484645,0.4,-0.95,23.9,-0.85,20.3,1,no change,4.0
6563,23.05,23.32,0.13,65.0,1.3407849829351537,0.21,-1.4,45.5,-1.33,41.8,1,no change,6.0
6568,22.96,23.44,0.12,65.0,1.2911262798634808,0.38,-0.89,21.8,-0.82,19.3,1,no change,4.0
6569,22.59,23.170000000000005,0.17,66.0,1.1918088737201364,0.3299999999999999,-1.45,48.0,-1.35,42.6,1,cooler,5.0
6587,23.35,23.8,0.17,63.0,1.3407849829351537,0.2800000000000001,-1.14,32.4,-1.11,30.8,1,no change,6.0
6594,23.43,23.78,0.1,60.0,1.1918088737201364,0.3299999999999999,-0.95,23.9,-0.81,18.8,0,cooler,5.0
6636,22.98,23.39,0.13,53.0,1.1918088737201364,0.36,-1.16,33.4,-1.05,28.4,1,no change,5.0
6642,22.68,22.61,0.1,60.0,1.440102389078498,0.35,-0.89,21.8,-0.87,21.0,1,no change,6.0
6643,21.96,22.34,0.13,61.0,1.3656996587030714,0.48,-0.89,21.8,-0.86,20.8,1,no change,4.0
6648,22.0,22.19,0.11,59.0,1.2911262798634808,0.41,-1.17,33.9,-1.09,30.1,1,no change,6.0
6649,21.6,21.73,0.18,60.0,1.589078498293515,0.29,-1.38,44.5,-1.41,45.9,1,no change,6.0
6653,24.45,24.670000000000005,0.15,57.0,1.0924914675767918,0.3299999999999999,-1.0,26.0,-0.85,20.3,1,cooler,5.0
6654,22.62,23.23,0.14,71.0,1.0428327645051196,0.52,-1.04,27.7,-0.88,21.5,1,no change,4.0
6659,21.86,21.969999999999995,0.11,67.0,1.0924914675767918,0.63,-0.87,20.8,-0.72,16.1,1,no change,5.0
