,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
94965,26.5,26.5,0.17,63.0,1.0,0.57,0.22,6.0,0.26,6.4,1,warmer,3.0
94966,26.7,26.7,0.09,65.0,2.0,0.45,1.07,29.1,0.57,11.9,1,no change,5.0
94968,26.7,26.7,0.09,65.0,1.0,0.48,0.37,7.8,0.37,7.8,1,warmer,4.0
94969,26.7,26.7,0.09,65.0,1.0,0.47,0.35,7.5,0.35,7.5,1,no change,4.0
94970,26.7,26.7,0.09,65.0,2.0,0.36,0.95,24.2,0.44,9.1,1,cooler,4.0
94971,26.7,26.7,0.09,65.0,1.0,0.49,0.39,8.1,0.39,8.1,1,no change,4.0
94972,26.3,25.5,0.24,65.0,1.2,0.47,0.05,5.1,-0.08,5.1,1,no change,4.0
94973,26.3,25.5,0.24,65.0,1.2,0.57,0.28,6.6,0.12,5.3,1,no change,4.0
94974,26.3,25.5,0.24,65.0,1.2,0.55,0.23,6.1,0.08,5.1,1,cooler,3.0
94975,26.3,25.5,0.24,65.0,1.2,0.66,0.45,9.2,0.28,6.6,0,no change,3.0
94976,26.3,25.5,0.24,65.0,1.0,0.65,0.09,5.2,0.05,5.0,1,no change,5.0
94977,26.5,25.5,0.19,64.0,1.2,0.63,0.48,9.8,0.35,7.5,1,cooler,4.0
94981,24.6,23.9,0.15,57.0,3.0,0.47,1.37,43.9,0.21,5.9,1,no change,4.0
94985,26.8,25.9,0.17,64.0,1.2,0.55,0.46,9.5,0.36,7.6,1,no change,4.0
94986,26.8,25.9,0.17,64.0,1.2,0.41,0.18,5.7,0.1,5.2,1,no change,4.0
94987,27.0,26.0,0.09,64.0,1.2,0.68,0.82,19.3,0.84,20.1,1,no change,4.0
94988,27.0,26.0,0.09,64.0,1.2,0.61,0.72,16.0,0.75,17.0,1,no change,4.0
94989,26.4,25.9,0.25,68.0,1.2,0.72,0.63,13.2,0.44,9.0,1,no change,4.0
94990,26.4,25.9,0.25,68.0,1.2,0.59,0.4,8.3,0.22,6.0,1,no change,3.0
94991,26.4,25.9,0.25,68.0,1.2,0.55,0.32,7.1,0.15,5.5,1,cooler,4.0
94992,26.4,25.9,0.25,68.0,2.0,0.67,1.14,32.2,0.59,12.2,1,cooler,3.0
94993,26.4,25.9,0.25,68.0,1.2,0.55,0.32,7.1,0.15,5.5,1,no change,3.0
94994,26.4,26.0,0.13,74.0,1.6,0.33,0.44,9.0,0.19,5.7,1,cooler,3.0
94995,26.4,26.0,0.13,74.0,1.2,0.45,0.34,7.4,0.32,7.2,1,no change,4.0
94996,26.4,26.0,0.13,74.0,1.2,0.55,0.53,10.9,0.5,10.2,1,no change,4.0
94997,25.3,26.2,0.35,56.0,1.2,0.63,0.08,5.1,-0.11,5.3,1,no change,4.0
94999,25.3,26.2,0.35,56.0,1.2,0.28,-0.94,23.9,-0.97,25.1,1,no change,4.0
95000,27.0,26.0,0.11,62.0,1.0,0.68,0.57,11.9,0.57,11.9,1,no change,5.0
95001,27.0,26.0,0.11,62.0,2.0,0.41,0.98,25.4,0.45,9.3,1,no change,4.0
95002,26.9,26.0,0.15,56.0,1.2,0.68,0.67,14.4,0.57,11.8,1,cooler,3.0
95003,26.9,26.0,0.15,56.0,1.2,0.61,0.56,11.6,0.47,9.6,1,no change,3.0
95004,24.9,24.5,0.09,54.0,3.0,0.46,1.46,48.9,0.31,6.9,1,no change,5.0
95006,24.9,24.5,0.09,54.0,3.0,0.47,1.48,49.7,0.33,7.2,1,no change,4.0
95008,24.9,24.5,0.09,54.0,3.0,0.59,1.62,57.2,0.55,11.3,1,cooler,3.0
95010,26.8,26.6,0.15,64.0,1.2,0.72,0.84,19.9,0.74,16.6,1,no change,4.0
95011,26.8,26.6,0.15,64.0,1.2,0.59,0.65,13.8,0.56,11.5,1,no change,3.0
95012,26.8,26.6,0.15,64.0,1.2,0.55,0.58,12.1,0.5,10.2,1,cooler,4.0
95014,26.8,26.6,0.15,64.0,1.2,0.59,0.65,13.8,0.56,11.5,1,no change,4.0
95015,26.8,26.6,0.15,64.0,1.0,0.55,0.32,7.1,0.39,8.2,1,no change,4.0
95017,26.6,26.2,0.07,65.0,1.6,0.33,0.53,10.8,0.33,7.3,1,cooler,3.0
95018,26.6,26.2,0.07,65.0,1.2,0.49,0.53,11.0,0.53,11.0,1,no change,4.0
95019,26.6,26.2,0.07,65.0,1.2,0.45,0.47,9.5,0.47,9.5,1,cooler,4.0
95020,26.6,26.2,0.07,65.0,1.2,0.55,0.63,13.4,0.63,13.4,1,no change,4.0
95025,26.7,25.6,0.24,67.0,1.2,0.65,0.54,11.1,0.36,7.7,1,warmer,3.0
95026,26.7,25.6,0.24,67.0,2.0,0.55,1.03,27.5,0.45,9.3,1,no change,3.0
95027,26.7,25.6,0.24,67.0,1.2,0.35,-0.13,5.3,-0.23,6.1,1,no change,4.0
95028,27.1,26.3,0.04,64.0,1.2,0.61,0.87,20.8,0.87,20.8,1,no change,3.0
95029,27.1,26.3,0.04,64.0,2.0,0.53,1.21,35.9,0.78,17.8,1,warmer,4.0
95036,24.6,23.8,0.08,65.0,3.0,0.49,1.46,48.7,0.39,8.2,1,no change,4.0
95044,27.5,26.8,0.07,62.0,1.2,0.55,0.85,20.1,0.85,20.1,1,no change,4.0
95045,27.5,26.8,0.07,62.0,1.2,0.65,0.98,25.2,0.98,25.2,1,no change,4.0
95046,27.5,26.8,0.07,62.0,1.2,0.35,0.53,10.9,0.53,10.9,1,cooler,3.0
95047,26.4,26.4,0.22,56.0,2.0,0.53,0.96,24.4,0.37,7.8,1,cooler,5.0
95048,26.4,26.4,0.22,56.0,1.2,0.61,0.43,8.9,0.27,6.5,1,no change,3.0
95049,26.3,24.9,0.16,56.0,3.0,0.55,1.85,69.5,0.66,14.2,1,cooler,4.0
95052,26.3,24.9,0.16,56.0,2.0,0.53,0.85,20.4,0.33,7.3,1,no change,4.0
95055,25.3,25.3,0.13,63.0,2.0,0.64,0.9,22.1,0.46,9.4,1,cooler,3.0
95062,26.8,27.2,0.13,47.0,1.2,0.66,0.72,15.8,0.65,13.9,0,warmer,3.0
95063,26.8,27.2,0.13,47.0,1.2,0.55,0.55,11.4,0.5,10.2,1,no change,5.0
95071,27.0,26.3,0.15,51.0,2.0,0.69,1.22,36.2,0.68,14.7,1,no change,5.0
95072,27.0,26.3,0.15,51.0,1.2,0.5,0.39,8.1,0.3,6.9,1,no change,4.0
95073,27.0,26.3,0.15,51.0,1.2,0.49,0.37,7.8,0.28,6.7,1,no change,4.0
95074,27.0,26.3,0.15,51.0,1.2,0.76,0.79,18.2,0.68,14.8,1,no change,5.0
95075,27.3,27.8,0.17,46.0,1.2,0.55,0.66,14.2,0.51,10.5,1,no change,4.0
95076,27.3,27.8,0.17,46.0,1.6,0.56,0.92,22.9,0.52,10.7,1,no change,4.0
95077,26.5,26.0,0.07,41.0,2.0,0.61,1.02,27.1,0.55,11.3,1,no change,4.0
95080,26.2,25.6,0.3,46.0,3.0,0.43,1.66,59.3,0.22,6.0,1,no change,4.0
95082,26.2,25.6,0.3,46.0,2.0,0.62,0.88,21.4,0.27,6.5,1,no change,3.0
95086,25.6,25.3,0.25,56.0,2.0,0.49,0.65,14.0,0.08,5.1,1,no change,4.0
95090,26.5,26.5,0.26,49.0,1.2,0.5,0.15,5.4,-0.04,5.0,1,no change,5.0
95091,26.5,26.5,0.26,49.0,1.2,0.49,0.12,5.3,-0.05,5.1,1,no change,4.0
95092,26.5,26.5,0.26,49.0,1.2,0.76,0.62,12.9,0.4,8.3,1,no change,5.0
95093,26.8,26.6,0.2,55.0,1.0,0.72,0.46,9.5,0.42,8.7,1,no change,4.0
95094,26.8,26.6,0.2,55.0,1.2,0.59,0.52,10.6,0.35,7.6,1,no change,3.0
95095,26.8,26.6,0.2,55.0,1.2,0.55,0.44,9.1,0.29,6.7,1,no change,4.0
95096,26.8,26.6,0.2,55.0,1.2,0.6,0.53,11.0,0.37,7.9,0,no change,5.0
95097,26.8,26.6,0.2,55.0,1.0,0.67,0.38,7.9,0.34,7.4,1,no change,4.0
95098,26.8,26.6,0.2,55.0,1.2,0.55,0.44,9.1,0.29,6.7,1,no change,4.0
95099,26.8,26.6,0.2,55.0,1.2,0.55,0.44,9.1,0.29,6.7,1,no change,4.0
95106,26.9,26.2,0.17,54.0,1.2,0.73,0.73,16.2,0.6,12.5,1,cooler,4.0
95107,26.9,26.2,0.17,54.0,1.2,0.55,0.44,9.1,0.33,7.2,1,no change,4.0
95108,26.9,26.2,0.17,54.0,1.2,0.77,0.78,17.9,0.65,13.8,1,no change,4.0
95109,26.9,26.2,0.17,54.0,1.2,0.66,0.63,13.3,0.5,10.2,1,warmer,3.0
