,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
1929,24.31666666666667,24.721233962781028,0.136,30.09,1.2457044673539517,0.4890909090909091,-0.5,10.3,-0.48,9.8,0,cooler,4.0
1930,23.63,24.509729678890945,0.165,31.07,1.3745704467353954,0.41,-0.72,15.8,-0.76,17.1,1,no change,6.0
1932,23.183333333333323,24.18256217394413,0.3146666666666667,32.5,1.537800687285223,0.57,-0.42,8.7,-0.65,13.8,1,cooler,5.0
1933,23.92333333333332,24.533109609015543,0.1643333333333333,29.23,1.537800687285223,0.64,0.01,5.0,-0.18,5.7,1,cooler,3.0
1935,23.7,24.71836084941727,0.1743333333333333,30.93,1.2671821305841924,0.5078571428571428,-0.62,13.2,-0.64,13.5,1,no change,5.0
1937,23.71,24.27255982752889,0.125,30.28,1.4175257731958757,0.4,-0.61,12.9,-0.65,13.9,0,cooler,2.0
1938,23.9,24.55182944920258,0.17,31.09,1.1941580756013748,0.4,-0.92,23.0,-0.87,20.8,1,no change,6.0
1939,24.96333333333332,24.5805192916116,0.2263333333333334,30.14,1.0309278350515465,0.6699999999999999,-0.49,10.1,-0.49,10.1,1,cooler,5.0
1941,23.866666666666664,24.47243598891206,0.1313333333333333,31.21,1.4175257731958757,0.45,-0.45,9.3,-0.51,10.5,1,cooler,3.0
1942,23.863333333333323,24.190381077053893,0.1546666666666666,32.370000000000005,1.2457044673539517,0.4,-0.92,22.8,-0.86,20.7,1,no change,6.0
1943,23.913333333333327,24.49957469730219,0.0883333333333333,32.650000000000006,1.3745704467353954,0.4900000000000001,-0.31,7.1,-0.31,7.0,1,cooler,5.0
1944,24.17666666666667,24.98598007044201,0.136,31.0,1.2371134020618555,0.38,-0.77,17.4,-0.71,15.7,1,no change,6.0
1945,23.91,24.74259166691256,0.1803333333333333,31.0,1.4175257731958757,0.45,-0.5,10.3,-0.6,12.6,1,no change,5.0
